text,target
P C gorge yousuf ali yude bahu booripakshavum malukal ninte mattodthano pravarthikkunnath,Neutral
P c jorge aaraaa eth parayan,Neutral
P c ninde peesoranai,Negative
P C paranjathu correct aanu,Positive
P C paranjathu thettonnum Ella...Hindu oruma ellathavar aayi poyi.....oru hinduvinu mattoru Hindu nannakunnathu sahikkan pattilla..annal mattullavar anganeyano....soyam aalochichu nokku,Neutral
"P C parayunna chila kaaryangal are facts, chindichu nokkiyaal manasilaavum.",Positive
P c theetam,Negative
P c vapoya kodali 😭😭,Negative
P c vargiya Vadi krsanki RSS narikel nayinte,Negative
P c yude vakkukal poornamayum thallikalayaruthu.matham apakadam thanne eppozhayalum.,Neutral
P C. Muslingalude. Vottu. Vaangiya kaalamundaayirunnu. Kasttamanu. P C ninte. Kaaryam,Neutral
P c.jorgine jaililakanam,Neutral
P. C.thendi.3neramtheetam.kazhikunnathane.idupolethonunnathe.,Negative
P.c parangathu sathyam,Positive
P.c. ..R.s.s.eenanampechiku.marappatty.koottu,Negative
P.c.jorginte.aduthirikkunna.marapatti,Negative
P.c.jorje paranjathu sathyam,Positive
P.c.parnjathu.sathiym.,Positive
P.c.yude.swathum.shakthiyum.nashippikkan.ieeratu.pettayil.thanne.an.kuttikal.illanjittalla.orkkunnath.p.c.kku.nallathanu,Neutral
Paavam arum thirinju nokkathond evadeyenkiloke kayari Pattan nokkanu!!! Chilapo governor akkiyalo🤣Bloody fool,Neutral
Paavam endengilum koduth vittek.. onnum kayyil illaandayappolaan oronn vilich parayunnad,Neutral
Paavam Pottananu Vittake,Negative
Paavam vattu koodikondirikkayaaanu,Negative
Pachayaya hindu❤,Positive
Padachavan kodkate ee vargeeyavathik punyamasathinte barakath kond thammiladipikunnathinu aameen,Neutral
Paisakk vare jaadi undaakunna my....,Negative
Pakka karyama paranjath,Positive
Pakka pookukkayanelle....pediyundu,Neutral
pakka vargeeyavadi.ini aduppikaruth,Negative
Pakka visham...case eduth mathrikaaa paramaya nadapadi edukkanam,Negative
Pala thanthak undayal palathum parayum naaayi,Negative
palakarude swantham KUNDAN...😆,Negative
Palakkad varunnund Lulu. Angane gattam gattamayi vannolum. Iyalku annu eerattupettayil tolvi kondatinu sesham ingameya..,Neutral
Palliyill niskarikkaan varunnavarodu nammude sahodharan puthiya kada thudagi ellaavarum avidannu saadhanagall vagikkanam ennu parayunn mosiliyaar.. athupole aayi pc,Neutral
Panda erappan,Negative
Pandathe kadhayile kurukkente Poole ind,Neutral
"Pandokke njangal njan malayaliyan, thrissukaranan, palakkattukaranan, kollam karananennokke parayarulloo. Avasyam varumbo. Matham nithya jeevithathil parayenda karyame illayirunnu. Ippo ath kazhinje enthum parayendoo enna avasthayayi. Ithrem adhapathichallo nammude nad.",Neutral
Pandrm colostrol vnne chakm,Negative
Pandu Vellapalliku undaya rogom thanne iyalkum,Neutral
Panna chetta naaayi,Negative
Panna kaivari pc ivanikku chernna peru.​Mamaa pc😃😃😃,Negative
Panna patti Ottum samshayam ellathe vilikkaam naayinte mon,Negative
Panna pullan,Negative
Panna thayoli,Negative
Panni,Negative
Panni nKkiyathu pti thinnunnu oola ivanokke ingnokkoye patoo,Negative
Panni theetam peri nadakkunna poonjatil George,Negative
Pannikudayavanu athampathikkam,Negative
Pannna thendi....P C George,Negative
papattiya thallikolananm,Negative
Para naari,Negative
Para naari evanu endinanu jamiyam koduthath evane veliyil vechu kandal theettam vari eriyanam,Negative
Para nari,Negative
Parajathel thetelenu thonu kalam elathenum marupadeparayum,Neutral
Parama Chetta,Negative
Parama chetta =pc,Negative
Parama chetta George ne pidichakathidan pinarayik nattel ella,Negative
Parama Chetta George poori mon,Negative
paranaari,Negative
Parangikallude mathakaranalle ivan vishwosikan kollula,Neutral
Paranjath pole Calicut oru Lulu mall vendath alle..🤔 and Malappuram..???,Positive
Paranjathil karyamillathilla,Positive
paranjathu ellam sathyam,Positive
Paravaaanam,Negative
Parayaan stage koduthavaraanu kuttakkaar...,Neutral
Parayunna ketta muslims maalil keraarilla🖕🖕,Negative
Parayunnatho mandatharam adhin kayyadikkan kure eranam kettavar,Negative
Parayunne iyalk budhi illa theere ath ketond nikne avide ulla janangalk ndh pattiyandho kai adikknn 😅😅😅,Neutral
Pariyil choriyunnavan athanu P C ( parama chetta )athum churukkaperil P C ( poonjhattile Chavaru Athilum P C thanney,Negative
Pashanathile krimi p. C,Negative
patti kazhuveryde mon,Negative
Pattikkaattam pc🤧🤧,Negative
Pattikku.undaaya.patti,Negative
Pattiye pole thalli odikanam ee nayinte mone.....,Negative
Patty,Negative
Patty parannari,Negative
Patty pc,Negative
Pavam election thottappol muthal inganeya.vattayenn thonnunnu,Negative
"Pavam vivarm ila 🙂 kochi , TVM oke pole anoo chettaa Malappuram 🙂Ala oru doubt ethu ningl janichapo kondu vana rajayam ano 🤔🤔India thane alle Muslims evide jeevikanum kachodam nadathanum Ula right elae athoo enale rathri aaa right nirthal akyioo 🤔🤔🤔🙄",Neutral
Pavam...yusif Ali sir....,Positive
Pc 💩Thendi para naari vargheeyavaadi Yusafali sir inn keralathiln kittiyittonnum venda kanjikale,Negative
PC anna ningal enna Hindhu aaye 😂,Negative
Pc areyanu ee pedippikkan nokkunne??,Neutral
Pc athalla athinte appurathum parayum 10 rupa oralkkum kodukkaatha sangi pc enthina mattullavarude kariyam parayunnad,Neutral
pc bjp epam chern,Neutral
Pc chetta,Negative
PC chetta ellavanmarum gulfilott kettiyedukunundallo enthainavo appo hindumvum mairumonnum ille avsnnaanllo eee cashokke adigam perum kondu verunne,Negative
Pc chette,Negative
PC chumakkunnavar narum no 1 myran...,Negative
Pc de puthiya kand pidutham.. Aziz Sancar aan corona virus kand pidchathenn parayumo,Neutral
Pc e news nte thaze ulla comments vannu vaayikkanam….apol manasilaavum veruthe kurach neram ninnu kurachathallathe oru karyavum undayilla ennuuuuu,Neutral
Pc eni orikkalum than jaikilla,Negative
pc ente vaga naduviral namaskaaram......,Negative
Pc erappali,Negative
Pc george appo adutha lakshyam bjp ha ha ha ha ha ha udf nu ninne venda...malam theeni george,Negative
PC george bjp il cheran pokunu ennu thonnunu. Valle mizoram governor post kittiyalo? Ippol eecha aatti irikkuyanu alle 😆😆😆😆,Neutral
"PC George enna visha vithu,yudasine arum kalleriyanille?",Negative
Pc George nayinde mone,Negative
Pc George ne ini bjp te support avishyam annee MLA akkaan 😂😂😂,Positive
Pc george ne. Champikkoo,Negative
pc george ninte ammayod chothikada ninte achanaraann,Negative
Pc George nte karyam theerumanayi samoohathil prashnam undakanayitt ooro aalkare 😞,Neutral
Pc george paranjathil oru thettumilla,Positive
Pc george paranjathu shariyaya karyam katta support 👍,Positive
"Pc george polichu ,,👍",Positive
Pc George sir..paranjadu 100% sathyam...Khangressum..kammikalum eppozhum bargeeyada alikkathikkunnu.. kooday..Maama channelum..itrayykkum kurupottikkanda,Positive
Pc George theernnu uff,Negative
Pc George vargeeyavadhi njangal hindhukkalk thante support Venda..😏,Negative
Pc George vaya thuranne.Flush thurakkoo..,Neutral
Pc George verute Entina thanthaye parayipikunnat…Erattupettayile janangal itupole oru vargeeya pottane anallo chumanath enn alojikumpol ..,Neutral
Pc george vivaramillaatha vargeeyavaadi,Negative
PC Georgeinte Aduthu Kazhicha Varsham Airil Keriya Krishnaraj Advocate Alle Irikunne Apozhe Programinte Quality Manasilaayi 😹,Neutral
Pc georgint chanel bahishkarikanam evnt bussiness polikanam,Negative
Pc georginte vaaya panchayathinte toiletaanu,Negative
PC Georginu manasika prashnamundonnoru thonal,Negative
PC geroge 2015 -2019 popular front ne oombi  2022- rssne oombi,Negative
Pc goergene pole ulla Aalukal aan sharikkum Theevravaadhii . Pidichakathidanam,Negative
Pc gorji. Manushayanalla....,Negative
Pc is a pottan and communal,Negative
PC ith ente vaka 🖕🏻🖕🏻,Negative
PC ithe keralam aane,Neutral
Pc ithrakkum adhapadhichallo ....,Negative
Pc iyyal verum chetta aan...iyyal ippo madhavarkiyatha undakan nika ..ippo party maariyallo .....pinne social mediayilum varthayilum nirayanam adhinum koodi vendi ...iyyal attin tolitta chennaya aan .... verum chetta ...,Negative
PC joli kodukkum poonjattile estatelu nale ravile😂😂😂😂,Neutral
Pc Jorge angana parayan padilayirunnu,Neutral
Pc Jorge ivane yokke aru mind cheyyana,Neutral
Pc jorge kalla panni,Negative
Pc jorge korach kanji edukkattee,Neutral
pc jorge naya,Negative
Pc jorge nayinthe mone,Negative
PC jorge oru mandan thanne,Negative
pc jorge vivaram ketta para nari,Negative
PC jorgine polayula Nayikal aan ee nadinnte Shabam myran,Negative
pc jorjine vargeeyathak arast cheyyan endan niyama thadassam. ayalkentha kompundo niyamamillatha keralam,Neutral
Pc jorjinoke nigal sammelanathine vilicha nigale venam parayan. Kodum thivravadiyan a chetta matha sauhrdam thagarkanayi vanna m.......,Negative
PC jorjinte vayil kunna thirukanam,Negative
Pc kalla naindemon ivanokke vargiyada undaka ennit thadi oori pova. Arengil thammil thallika ennit mungum naindemone pc,Negative
Pc kk naduviral 🖕namaskaaram,Negative
Pc kku vatti pidicho mla alla aarkum venda.pinne abdullakuttiye pole 😂😂😂😂😂,Neutral
pc Kozhikode lulu mall varund invest cheyano work in progress aanu,Positive
PC ku vere oru rakshayumilla BJP ye prakeerthikukayalladey..Idhupolle oru naariya rashtriyakaran keralathil idhuvere undaayirtyllaa,Neutral
Pc ku vivarumm illa nthumvilichu parayumm nammal athuonnum mind cheythe erunal mathy 🤗,Neutral
Pc kunna budhiillathe kunna kunna kunna kunnna,Negative
"Pc kutta,ponnu. Mone karthavu nerittuvannalum nee......",Neutral
Pc lokam kanda valiya poorimon an evideyum kundi vekan stelam ilanjit melle bjp ilek keran nokan thayoli🤣🤣🤣🤣,Negative
Pc mairan,Negative
Pc mall ennoru mall open akikoode shetta.,Neutral
Pc massaaa,Positive
Pc mathra nallath,Positive
Pc mwonu Kozhikode Lulu vernind 😂,Positive
Pc myran oru pooran thanne,Negative
Pc myranaanu.panni moran,Negative
Pc naaaayinta monew,Negative
PC nainde mone ninde appande taravad alla,Negative
Pc nari,Negative
Pc ne muslingal pottichu pettiyilaakiyathinde kazhappa Chankam pc😂,Negative
PC neeyaan vargeeya vaadi,Negative
Pc nina ubdaakiya ninta thanthayoude chodikada polyadimona ota thanthaku piranathaannoo neee,Negative
Pc ninakku thalakku sughamillay ninankku inghanay samsamsarikkan sanghi kal ninkku athra cash thannu,Negative
PC ninte andii.....,Negative
"PC ntea mother board adich poi kaanm atha kili poya varthanam 🙂 . Padicha pani 18 nookitm pazhaya pole perform chayyan pattanilla , ene ethe ullu oru vazhi 😂",Neutral
Pc number one fool,Negative
PC Onnaantharam. Mama anu,Neutral
Pc oru pothanu,Negative
PC pala thandakku pirannavanalle. appo angane parayu,Negative
Pc panna,Negative
Pc parama chetta,Negative
Pc paranja vere karyangal oke cit cheytho ?,Neutral
"PC parayunna karyangalanu.Ivide sowhardrum thakarthathe sdpiyum,pfi polulla Muslim sangadakala",Neutral
PC parayunnathe karyam unde,Positive
Pc Po myre ninte tallekke ore thette pattiyello mara vaazhe,Negative
Pc poda kalla hamkeee,Negative
Pc pottananne....thandha elathavananne....,Negative
PC poy theettam thinnada naari ninte monte kudumbam lulu vil poy theettam aano thonne,Negative
pc poyi chathudeee,Negative
Pc punda mon,Negative
PC sankiiii kuttaaa... Theri paripaadi niruthiii thammil thettikkal thudangiyoodaaa kooppilee kallaa christianiii chetttee... Nee thuppunna visham ninte makkalkk undakkiyaaa mathiiiii...,Negative
Pc sir ithilum vellya oru Lalu maal thudangikkoo arkappo virodham,Neutral
Pc sir niggale oru isttam unddayirinnu. Enthayalum athillatheyayi...njaggale thammil thallikan nokuvanalle..choru kazhikunna malayalikalum undd ivide.,Neutral
PC Theettam 💩💩,Negative
Pc Uday avsanetha orusremem haa Kerala nadakkillada,Neutral
Pc valladum kittiyo,Neutral
Pc vaya thuranna theettam mathram 🥴,Negative
PC vellam adicho atho ghanja vechanno vanne,Negative
Pc verum myra aane,Negative
Pc waste aada nee,Negative
Pc ye adichu pallukoayilkan evide arum elleeee,Negative
Pc yude vayil thoori veykkannam Ayalude vaya kakkuss aanu,Negative
Pc. Ammaye ticket vech panni pisa vangunbavan,Neutral
Pc. Chete. Iniyenghilum. Theetam. Moothram. Kazhikunnadu. Nirthoo,Negative
PC. ETHU KERALAMANU MONE,Positive
PC. Kallananu. Marukandam chadum,Negative
Pc. Kashttam,Negative
Pc. Themmadi,Negative
Pc... Nalla chaanagam,Negative
Pc.....neeyoke anubavichite ividannu povum..dhaivam tharum....,Neutral
PC....punnara Cho.....ivane polethe visham kuthi vekkunna aalukale konnu thallanam appo ee lokathu samadanam varu,Neutral
Pc.ke.enthe.parayanam.enne.sriyilla.karanam.arum.koode.nilkilla,Neutral
PC.ku.muyu.vattanu. eyalk.enthite.keda..,Negative
Pc.thayoli.narafoji.vargeeyavadi,Negative
Pc(patti chetta) ariyan nita kidny poya ni pagaram vakkunnath arudethanannu chothikkarundo,Negative
PCGEORGE vishamaa engane sadhikkunnu musilimsne party Indiail Ella varum onnanu allathe hindu matham allaa ethu hinduvaa Nair Brahmins Menon pillai evranu sarikum bjp rss allatheullaa hindukal bjpyude kude illaa athukondaa vattapoogyam bjp,Negative
Pcik entyum ente Hindu Muslim kuttukarudeyum naduvirall namaskar 🖕😎,Negative
Pc patty,Negative
Pepattye kandal thallikollarude suhrthe athine chigilsikkanam but pc gorginekandal thallikollooo,Negative
"PEPPATTIYEKKAL APAKADAKARIYUM, THEEVRA VATHIYUM AAYA, EE NAARIYODOKKE, IVIDUTHE MAHA BHORIPAKSHAM VARUNNA NALLAVARAYA HINDU SAHOTHARAR THANNE THAKKATHAYA MARUPADI KODUKKUNNUNDU, ATHANU VENDATHUM.....",Negative
Peppatty,Negative
Perithalmanna verunudennu ee madayanod para,Negative
Peru usman ennanel URAPA undaavum,Neutral
Perukondu kristiyani kailliripu CHEKUTHNTE,Negative
Pfi evideya,Neutral
Pidich akathodanam ithu potha.......kale,Negative
Pidichu agthidanam,Negative
Pidichu nilkan vere ayudham kayyil illangil avasanippichu koode E saamoohya pravartanam .Muslimine talli paranjal hindu samooham koode nikkum ennu vijaricho.....sir .keralattil E paripp vevilla .,Neutral
pina cundi george....ivane ottappedutthuka...ivan ivante bharya vare koottikodukkunnavanaaa,Negative
Pinarayi paranaal adichu ninte karannam pottikum patty pc,Negative
Pinnalla 🤭,Neutral
Pinne dubaiyilum saudiyilum okke ivante achanmar aanallo sadhanam vagan varunne.,Neutral
Pinne hindu Muslim Cristian ennonnum illedo manushyaaa Ellaaarum manushyar aaanu angine kanaaan padikyu Njan um oru Hindu aaanu Madhathinu praadhaanyam kodukkaaathe manushyanu kodukk,Neutral
Pinne kozhikode iyalde ollakkante mukalil aano lulu mall ndaakkunne. Onnu poo kelavaa,Negative
Pinne P C aalu kalu variyalle kalla himaru,Negative
Pinne uae il christiani ayirikkum vangukaaa,Neutral
Pinnee GCC countries l muslims lulu mall n saadanam vaangaarillallo.,Neutral
Pinnillahhh...👏👏👏,Neutral
Pirandhanu iyaalk,Negative
Pizhacha.sandadi,Negative
Plathottathil chetta,Negative
Plees. Binnippikkaruth,Neutral
pls bjp sahodarangale aa nari gorgine onnu nigalude party membership kodukku pleeeeeeeeeeeeeeeeeeeeeeeeeeeeeeees,Negative
Pls kerala sahodaran maare orikkalum inane onnum vihayippikaruthe,Neutral
Po myra avdnn 😑,Negative
Po naayinde mone pc poorer mone,Negative
Pod myraaaa,Negative
Poda,Negative
Ayal Sathyam paranju,Neutral
Poda chetta,Negative
Poda kalla,Negative
Poda mai...........,Negative
Poda maira,Negative
Poda mairaa......Nee yethaa,Negative
Poda mairaaa,Negative
Poda maire pc jorjeee🖕,Negative
Poda mayre nhagal onnada Hindu Muslim chagada,Negative
Poda myra pc,Negative
Poda myree….enthinaan kunne…mathathinte perum paranj al thammil thettikunnath nayintamone🤮🤮,Negative
Poda naye.........,Negative
Poda oola pc,Negative
Poda ooole,Negative
Poda oooole ninte veettil poyi para keralatthil matha visham pagunnath ninne polulla ooolagalaaaa...... Mon,Negative
Poda Panna thayoli george,Negative
Poda panni ...ni onnum chavathe..muslim frends oraalenkilum illatha hindu sahodaran illa...ninak poyi chathoode kayuthe,Negative
Poda panniii,Negative
Poda pattee,Negative
Poda patti,Negative
Poda pc,Negative
Poda PC myre,Negative
Poda pc nine,Negative
Poda pc Poda pc,Negative
Poda poo mone,Negative
Poda poora,Negative
Poda poori monne,Negative
Poda poori thayoliii,Negative
Poda potta...Kala kooda visha janthu,Negative
Poda pullai,Negative
Poda punde,Negative
Poda punde pc,Negative
Poda thayolly,Negative
Poda veshamea,Negative
Poda yerappey,Negative
"Poda, nayintye, mone",Negative
Poda Miii......Pala Tandakk Undaaaaaaya........,Negative
Podaa nariiii,Negative
Podaa poraa,Negative
Podaa പൂറിമോനെ,Negative
Podaa😡😡😡😡,Negative
Podaaa kunnnaaa,Negative
Podaaa naayeeeee  Chella muriye kittum ..........👆,Negative
Podaaa. P.....,Negative
Podaaaa nariiii,Negative
Podaaaa.. Poooonjaaa.... Shavamey<br>Neyoru my......,Negative
Podaparamachete,Negative
Podapatti,Negative
Podathandaillathavan,Negative
Poddaaaaa naari,Negative
Pode maire,Negative
Podmieera,Negative
Podo,Negative
Podo vargeeyavathi pottan pc george,Negative
podoo,Negative
Poi chavedo,Negative
Poi chavuda Patti nanam illathavan,Negative
Poi ummbiko ..atre parayan patoo ingane ullavanmarodu,Negative
Poiye paneokada kalumare pullai vargeyatha wealamban. Patteya chaluk nare,Negative
Pol.mone changalakidanam,Negative
Pola myran ayipoyalloda naari neyokke,Negative
Polaaddiiii Mon.. mairan... purana..... kunnnaann,Negative
Polayaadymon pc,Negative
polayadi mon,Negative
polayadi pc oru myran thanne,Negative
Polayadi polayadi panni polayadi,Negative
Polayadi. Mon. Pc,Negative
Polayadi. Pc.,Negative
Poli,Positive
poli muthee,Positive
Police endde swameda case edukkathede,Neutral
Police.urangugayaane.urakkamm.nadikkukayane,Neutral
"Policum govermentum itharakare onnum cheyyunnilla,indiayul mothathil itanu nadakkunnatu,But itukondonnum islamine onnum cheyyan pattilla ennu ivarkonnum manassilakunnilla.Bjp bharikkunna states aayalum pinarayiyude keralam aayalum itoke ketu chirichu kondu iripanu",Neutral
Ponda PC pooora,Negative
Ponn pc Jorge. Mone keralam ithra devolop aayath. Bhooribagham Muslim. Pravasikal. Koodum kudumbavum vtt. Manalil poyi Pani eduth. Ath naattile kond vannu. Valiya Mani malika kettunnu. Vandiyum vangunnu orupaad hindhikkalilum Joli kittunnu,Neutral
poo Jorge ninakk naduviral namaskar am hindhukkal nammude sahodharanmaraaa ninnepole ulla pooo jorgaa vishagal,Negative
Poo....Mon P C,Neutral
Pooda maira,Negative
Pooda pc,Negative
Pooda PC myreee,Negative
Pooda pull chadi,Neutral
Poodaa. Naayenta muoone pc jorge,Negative
PoodAaa pooooriii moooneeee ninteeee ammmakkk ttt vetttt kunneeee thaaaayoliiii poooriii moooneee nineeeee ipo adutthjh theeerumaaanam aaakum mireeee,Negative
poojarukar adichu kettikoduthe pinne oru rekshem illa ini chanakam thanne Sharanam,Neutral
Poonaarile janangalkku orupaadu nandiyund,Positive
poonjaarile pannan jeorgine Arreste cheythu jayililadakkaan iratta changganu polum kayiyunnillengil pinarayi Vs RSS koottu kettinu ithil kooduthal thelivu venda?,Neutral
Poonjarile sdpi ivan ethire kuthi ann thudangiyathanu ee thayolikk muslimsinodulla deshyam,Negative
Poonjarinte punnara mon Enthu kond veetil irkunnu enn theliyikkunnu,Neutral
poonjattile malabhoodham tiruvanantha purath iragiyo edo parannari septic tanke nee yoru kazhutha yanooda nnaree... kozhikode lulu mall undakkunnath chathu poy ninte appannoda,Negative
Poooddaaa myreee,Negative
Pooonjaar kaarkk athu manasilaayi..........ini oru Kendra manthri aaaayitteee kaariyam ulluu ennaa udheshathilaaa..... athaaaakumbol keralathil ward member polum aaaaakandaa..........vargiyathaa paranjau aaal aaayaa mathi,Neutral
Pooooda patiiiiiii,Negative
Pooooooonjhaar........,Negative
Pooran Gorge Mayiraandi,Negative
Poorane kayil kitiyirunegil kanichu kodukayirunnu,Negative
poori mon,Negative
Poori mone kallerinje kollanam appo kaanunnavane appanne vilikunna poori mon,Negative
Poorimon,Negative
Pooru,Negative
Poreemoone yoosfali cheyyunna karyam nee cheyyunnundooda pooreemoone yoosfali jadinokiyittellada patti cheyyunnade,Negative
"Postives nokaaan aallugal varilla,,negatives identify cheyth athu maathram nokki irikkuna kure per und bro",Neutral
Potan,Negative
Potato pattee,Negative
Poth,Negative
Potta ayirunu avan,Negative
Potta naari ninde jootha buddi chilavaagillla. Korchi sangi koottam und avare ozichaal ivide hindu muslim Cristian nalla reethil pogunnu Ni poi thooongi chaah,Negative
Potta tirur varunnund,Negative
Pottaa Ni manasilakanam gulfil ayalk orupad kadagalund hindukkalalla Avide pogunnad. Nale muslimgale vediyil poyi hindukkaleyum parayan sadhyadayund thalakk sthiradayillaa,Negative
Pottaaa,Negative
Pottakinattile valiya thavala🤣,Negative
Pottan,Negative
Pottan aanenne ariyaam...innalum ithrakke varuo,Negative
Pottan Chaathan G,Negative
Pottan kuttan👂👂👂,Negative
Pottan maar palathum parum....athonnu nammal hindhu Muslim brothers chevikolande kariyam illaa ...eppol latest news sredhathirikanullaa ulla idea annu eee pottante prassagham...,Negative
Pottan P C kozhikkode maal under construction. PANNA chetta P C George 😜😜😜🤪🤪🤪,Negative
Pottan pc,Negative
Pottan😂😂😂😂🤣🤣😀😀,Negative
Pottana aarum kaaryamakendaa.....,Negative
Pottatharam ahankaramaayi kaanunna le George 😂😂,Negative
pottatharam parayalle,Negative
Powlichuuu,Positive
Poy Pani nokkan para,Neutral
Poyi chathooodedooo.. Thanik,Negative
Poyi theetam thinoode .. last chaadaaan ulla marakomb aan . Murukki pidicho poonjaarukara ...pidi vittal eni evide party vere ella.. jai poonjar sanghi,Negative
Poyi theettam thinnoda neeyokke njangal muslim. Hindu .cristhyan oru chorayanu sahodari sahodaranmaranu poo mone athu thakarkkan ninte mai pora ketto,Negative
Poyi theettam thinnu.......Pola mone,Negative
Poyi valla Kappa yum nadada Patti,Negative
Poyiii tetttm thinnnandooo Poyitt mallaaa mayyyaraaa,Negative
Poyikeda nayinte mwone,Negative
Poyt theetam thinnu jeevikada PC jorge vargiya vathi,Negative
Prayam chennappol vattayatha,Negative
"Prayam,koodumbol,athum,pitthum,parayum",Neutral
Praym avmboooo vivarekd ok koooddmmm athra kandathii😁😁,Neutral
Priya sahodara angekk sarva aishwaryangalum daivam nalki anugrahikkatte,Positive
Priyappetta sahodharanmare ningale njangale vilikku njangal pangedukkam Karanam njangalkkum kurachu parayanundu,Neutral
Prthan enn thonunnu,Negative
prunnal vanale shobayil thikkum thirakkumada panni poonjtile thazooleee. shoba tex hiduvintya da polayadi... athum malappum putantheruvil...,Negative
Ps gorge naari,Negative
Public Closet,Negative
Public closet full form P C,Negative
Public Closet George,Negative
Public kakkos Jorge 😀😀😀🤣🤣🤣🤣😜😋😝😛🤑,Negative
Pucham matram ....oru lod pucham....😡😡😡😡😡,Negative
Pujharile poor*n .Visham,Negative
Pulayadi mon,Negative
pulle,Negative
"Pullide full speech idan dairyam undo.,. PC love jihadine kurichu krityamayi parayunundu",Neutral
Pundayoli!!,Negative
Punjaril pottiya pagamaritillla pavam,Neutral
Punjarilem erattupettelem muslingal evane thoppichappo muthal thudangiyatha,Neutral
Punnara monay pc ne eni kerala niyamasaba kanilla,Neutral
Puthiya thandram.Oru partyum ippo aduppikkunnilla.Athum Yusufikkaye poke orale kurichuuuu.Kashtam ….,Neutral
Puzhuthu nariye ivan chaku😂😂,Negative
raajya drohathinu casedukkanam,Negative
Raashtreeya vyabichaari...swantham karyathin aarudeyum kaal nakkunna naari....oonthinekkal vegathil niram maarunna funda,Negative
Racism kanikunna tanne polethe alkaree aadyam porath aaknm,Neutral
Rajya drohikal koode undennu karuthi veruthe kurakkalle gorge enna pattee.,Negative
Rashtriyathil oru perilla appo pinne vargeeya card irakkam,Neutral
Rss Join cheyyan ulla oru trik 😂,Neutral
Rss sammelanam ethilevidedo hindu,Neutral
Saadarana manushian visarjikkunnathpoleyalla ee para naari Ivan vaayiludeyaanu appi idunnad ivante vayaru sradhichittundo waste kettikidannu Ivan Adu chomannukondaanu nadakkunnad ivante vaayiloode muzhuvan pokathilla,Negative
Sahotharyem athin mukalilla onnum,Neutral
Sakakale orukesedukku ningala bharikunne plice Etharam aruparanjal nadapadivenom,Neutral
Samadhan madhakar kundanmar,Negative
Same.. But enik Christian friends und kurach..,Neutral
Same.. Ennikum athre ullu..,Neutral
Samoohathin dhosham varuthanna ethum sathyasandhamayi aarkkum chodyam cheyyam. Ullathanenkil venda nadapadiyum edukkanam. Allathe avar 5 neram praki prarthichal than 15 neram prakikko. Allathe athukond aarkk kuzhappam.,Neutral
Sangikalude koode koodi matham paranj nadakkunna gorge ennaanavo nannavuka hindukkal nadathunna paripadiyil nasraanikkenth karyam iyalkkethire kes edukkanam,Neutral
Sangy ku kodukkum,Neutral
Sathyam 😑,Positive
Sathyam anu sahodara,Positive
Sathyam athalla avidathe cherukida vyaparakal kashtathilakum bakhiyullavade Athu bathakamalla,Neutral
sathyam enthennu ariyananmenkil pc adicha saadhanam ethennu ariyanam 😂😂,Neutral
Sathyam paranjapol preshnamayi 😂😂,Neutral
"Sathyam pryunath engneyaan vishayam aKunath veruthe aano makkale ingale pootipichath , aaranu vendum thorakan ula anumathi thannath ennanu , media one channel thane muslims nde ale apo sathyam paryunavan visham thuppal aKum",Negative
Sathyam vilichu paranja thankal ethrayo unnathanan. Sathyam jayikum. Dharmam charikum.,positive
Sathyam.. Paramartham..,positive
Sathyam.sangi vere hindu vere,Neutral
Sathyamaanu parayunnath,positive
Sathyamanu,positive
Sathyamparanjal entha pollunathu,positive
Sathyathil e yalude thalakkakath onnum ille,Negative
Sathyathil hindhukkal onnum arinjilla etha myran Mattu mathasthare kittal parayan,Neutral
"Sathyathil ivide..preshnakkar..hindhuvo, christiano,muslimo..alla..ivare thammil adippichu..avare chooshanam cheythu ..athil labham..unnam veykkunna Nethakkan mar aanu..🙂🙂🙂",Neutral
Sathyum neerum ulla business cheyth nokkan paraaa mister pc George  Allathe inganne veruthe dialogue adichaa poraaa,Neutral
Satre jorje paripp vadayum chayayyum tharunund ippoyalla pinne,Neutral
Satyam chetaa.manushyanu anu vila nalkendad .madam nokarud orikalum,Neutral
Saukaryamilla malappurath malunddakkan,Neutral
Savam 😌,Negative
"Sdpi , RSS naarikaleyum vargeeyatha parayunnavanmarem kandal karkich thuppuka , manushyanmar ennum evde jeevikum",Negative
Sdpi RSS kar ingane ullavark vetti kolluka naad nannakum ee poo naarine allathe pavangale kollaruth ingane ullavark vetti kolluka,Negative
seat poyappo kili poyatha pongan🙂,Negative
Seema nee puliyanu 🔥😍 Epic,positive
serious aayitt aan paranjathengil comedy aaayittund🤣🤣🤣,Neutral
Shagayil poyi thudangi.budhi mothathil illathe aayi,Neutral
.. Inagne ullaverk jail tanne kodukkanm.. Niyamam maranm,Neutral
Sharikum aksharam thettathe theevra vaadhi enn iyale okeya vilikandath.. thammil adipikaan nokuna kunaappan,Negative
Shariyan bro vargiyatha undakunna aaranenghilum manushya vargathill pettadalla,Negative
thammil thallichu chora kudikkum.,Neutral
Shetrangalil panam kodukkaruthennuparanjathil karyamund😄,positive
Shyaamasundara ...kera kedaara bhoomiiii..........♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️enthoru feel aanu song,positive
Sir enn vilikaan iyaal aar,Neutral
Sir oo iyalo😌,Neutral
